date,open,high,low,close
2021-11-09,15.14,15.37,14.67,15.37
2021-11-10,15.2,15.561,14.21,14.63
2021-11-11,15.04,15.04,14.57,14.77
2021-11-12,15.31,15.31,15.01,15.23
2021-11-15,15.73,15.98,14.9,15.57
2021-11-16,17.22,19.3,16.411,17.1
2021-11-17,17.265,17.265,16.2,16.2
2021-11-18,16.4,17,16.4,16.88
2021-11-19,16.72,16.83,15.2,15.98
2021-11-22,15.88,15.88,15.62,15.88
2021-11-23,15.74,15.74,14.89,15.47
2021-11-24,14.94,16.402,14.7,15.76
2021-11-26,15.6,15.65,14.98,14.98
2021-11-29,15.03,15.81,14.85,15.11
2021-11-30,15.42,15.42,14.84,14.95
2021-12-01,14.85,15.05,13.5,13.5
2021-12-02,13.5,14.17,13.39,13.72
2021-12-03,13.9,14.181,13.417,13.43
2021-12-06,13.64,13.8,13.44,13.44
2021-12-07,13.83,14.3,13.83,14.3
2021-12-08,14.1,14.36,13.48,14.36
2021-12-09,14.22,14.22,13.55,13.71
2021-12-10,13.99,14.17,13.67,13.84
2021-12-13,13.7,13.7,12.66,12.86
2021-12-14,13.2,13.46,13.077,13.46
2021-12-15,12.92,14.06,12.79,14.06
2021-12-16,13.93,14.28,13.2,13.23
2021-12-17,13.4,14.01,13.4,14.01
2021-12-20,13.52,13.52,13.01,13.19
2021-12-21,13.5,14.35,13.4,14.35
2021-12-22,14.17,14.31,13.755,14.29
2021-12-23,14.1,14.94,14.08,14.6
2021-12-27,14.8,14.97,14.23,14.23
2021-12-28,14.38,14.6,13.96,13.96
2021-12-29,13.8,14.364,13.77,13.77
2021-12-30,13.91,14.49,13.623,13.69
2021-12-31,13.93,13.93,13.53,13.81
2022-01-03,13.55,14.01,13.55,14.01
2022-01-04,14.02,14.51,13.75,13.75
2022-01-05,14.26,14.42,13.47,13.47
2022-01-06,13.69,13.98,13.4,13.88
2022-01-07,13.71,14.12,13.44,13.44
2022-01-10,13.48,13.9,13.2,13.2
2022-01-11,13,13.75,13,13.5
2022-01-12,13.9,14.08,13.69,13.85
2022-01-13,13.66,13.66,12.99,13.36
2022-01-14,12.9,13.36,12.9,13.36
2022-01-18,12.6,13.64,12.6,13.64
2022-01-19,13.39,13.83,13.31,13.31
2022-01-20,13.55,14.25,13.3905,13.75
2022-01-21,13.4,14.07,13.4,14
2022-01-24,13.16,13.16,11.82,12.9
2022-01-25,12.84,13.537,12.31,12.69
2022-01-26,13.3,13.55,12.37,12.58
2022-01-27,12.81,13.07,11.96,11.96
